date,traffic,page_name
2018-04-17,425.0,Back to the Future (Japanese Wikipedia)
2018-04-18,406.0,Back to the Future (Japanese Wikipedia)
2018-04-19,435.0,Back to the Future (Japanese Wikipedia)
2018-04-20,679.0,Back to the Future (Japanese Wikipedia)
2018-04-21,733.0,Back to the Future (Japanese Wikipedia)
2018-04-22,842.0,Back to the Future (Japanese Wikipedia)
2018-04-23,852.0,Back to the Future (Japanese Wikipedia)
2018-04-24,886.0,Back to the Future (Japanese Wikipedia)
2018-04-25,739.0,Back to the Future (Japanese Wikipedia)
2018-04-26,690.0,Back to the Future (Japanese Wikipedia)
2018-04-27,689.0,Back to the Future (Japanese Wikipedia)
2018-04-28,677.0,Back to the Future (Japanese Wikipedia)
2018-04-29,864.0,Back to the Future (Japanese Wikipedia)
2018-04-30,1259.0,Back to the Future (Japanese Wikipedia)
2018-05-01,1086.0,Back to the Future (Japanese Wikipedia)
2018-05-02,822.0,Back to the Future (Japanese Wikipedia)
2018-05-03,788.0,Back to the Future (Japanese Wikipedia)
2018-05-04,770.0,Back to the Future (Japanese Wikipedia)
2018-05-05,858.0,Back to the Future (Japanese Wikipedia)
2018-05-06,709.0,Back to the Future (Japanese Wikipedia)
2018-05-07,712.0,Back to the Future (Japanese Wikipedia)
2018-05-08,686.0,Back to the Future (Japanese Wikipedia)
2018-05-09,647.0,Back to the Future (Japanese Wikipedia)
2018-05-10,597.0,Back to the Future (Japanese Wikipedia)
2018-05-11,713.0,Back to the Future (Japanese Wikipedia)
2018-05-12,604.0,Back to the Future (Japanese Wikipedia)
2018-05-13,657.0,Back to the Future (Japanese Wikipedia)
2018-05-14,668.0,Back to the Future (Japanese Wikipedia)
2018-05-15,525.0,Back to the Future (Japanese Wikipedia)
2018-05-16,551.0,Back to the Future (Japanese Wikipedia)
2018-05-17,593.0,Back to the Future (Japanese Wikipedia)
2018-05-18,534.0,Back to the Future (Japanese Wikipedia)
2018-05-19,507.0,Back to the Future (Japanese Wikipedia)
2018-05-20,517.0,Back to the Future (Japanese Wikipedia)
2018-05-21,471.0,Back to the Future (Japanese Wikipedia)
2018-05-22,418.0,Back to the Future (Japanese Wikipedia)
2018-05-23,476.0,Back to the Future (Japanese Wikipedia)
2018-05-24,477.0,Back to the Future (Japanese Wikipedia)
2018-05-25,504.0,Back to the Future (Japanese Wikipedia)
2018-05-26,487.0,Back to the Future (Japanese Wikipedia)
2018-05-27,492.0,Back to the Future (Japanese Wikipedia)
2018-05-28,596.0,Back to the Future (Japanese Wikipedia)
2018-05-29,550.0,Back to the Future (Japanese Wikipedia)
2018-05-30,499.0,Back to the Future (Japanese Wikipedia)
2018-05-31,483.0,Back to the Future (Japanese Wikipedia)
2018-06-01,510.0,Back to the Future (Japanese Wikipedia)
2018-06-02,527.0,Back to the Future (Japanese Wikipedia)
2018-06-03,525.0,Back to the Future (Japanese Wikipedia)
2018-06-04,538.0,Back to the Future (Japanese Wikipedia)
2018-06-05,477.0,Back to the Future (Japanese Wikipedia)
2018-06-06,603.0,Back to the Future (Japanese Wikipedia)
2018-06-07,492.0,Back to the Future (Japanese Wikipedia)
2018-06-08,451.0,Back to the Future (Japanese Wikipedia)
2018-06-09,497.0,Back to the Future (Japanese Wikipedia)
2018-06-10,596.0,Back to the Future (Japanese Wikipedia)
2018-06-11,544.0,Back to the Future (Japanese Wikipedia)
2018-06-12,430.0,Back to the Future (Japanese Wikipedia)
2018-06-13,451.0,Back to the Future (Japanese Wikipedia)
2018-06-14,452.0,Back to the Future (Japanese Wikipedia)
2018-06-15,526.0,Back to the Future (Japanese Wikipedia)
2018-06-16,408.0,Back to the Future (Japanese Wikipedia)
2018-06-17,448.0,Back to the Future (Japanese Wikipedia)
2018-06-18,434.0,Back to the Future (Japanese Wikipedia)
2018-06-19,403.0,Back to the Future (Japanese Wikipedia)
2018-06-20,516.0,Back to the Future (Japanese Wikipedia)
2018-06-21,1277.0,Back to the Future (Japanese Wikipedia)
2018-06-22,565.0,Back to the Future (Japanese Wikipedia)
2018-06-23,497.0,Back to the Future (Japanese Wikipedia)
2018-06-24,429.0,Back to the Future (Japanese Wikipedia)
2018-06-25,530.0,Back to the Future (Japanese Wikipedia)
2018-06-26,564.0,Back to the Future (Japanese Wikipedia)
2018-06-27,3726.0,Back to the Future (Japanese Wikipedia)
2018-06-28,1475.0,Back to the Future (Japanese Wikipedia)
2018-06-29,795.0,Back to the Future (Japanese Wikipedia)
2018-06-30,710.0,Back to the Future (Japanese Wikipedia)
2018-07-01,576.0,Back to the Future (Japanese Wikipedia)
2018-07-02,596.0,Back to the Future (Japanese Wikipedia)
2018-07-03,772.0,Back to the Future (Japanese Wikipedia)
2018-07-04,1934.0,Back to the Future (Japanese Wikipedia)
2018-07-05,1170.0,Back to the Future (Japanese Wikipedia)
2018-07-06,638.0,Back to the Future (Japanese Wikipedia)
2018-07-07,590.0,Back to the Future (Japanese Wikipedia)
2018-07-08,511.0,Back to the Future (Japanese Wikipedia)
2018-07-09,505.0,Back to the Future (Japanese Wikipedia)
2018-07-10,515.0,Back to the Future (Japanese Wikipedia)
2018-07-11,1896.0,Back to the Future (Japanese Wikipedia)
2018-07-12,1118.0,Back to the Future (Japanese Wikipedia)
2018-07-13,758.0,Back to the Future (Japanese Wikipedia)
2018-07-14,581.0,Back to the Future (Japanese Wikipedia)
2018-07-15,565.0,Back to the Future (Japanese Wikipedia)
2018-07-16,494.0,Back to the Future (Japanese Wikipedia)
2018-07-17,592.0,Back to the Future (Japanese Wikipedia)
2018-07-18,489.0,Back to the Future (Japanese Wikipedia)
2018-07-19,499.0,Back to the Future (Japanese Wikipedia)
2018-07-20,406.0,Back to the Future (Japanese Wikipedia)
2018-07-21,476.0,Back to the Future (Japanese Wikipedia)
2018-07-22,569.0,Back to the Future (Japanese Wikipedia)
2018-07-23,704.0,Back to the Future (Japanese Wikipedia)
2018-07-24,475.0,Back to the Future (Japanese Wikipedia)
2018-07-25,385.0,Back to the Future (Japanese Wikipedia)
2018-07-26,420.0,Back to the Future (Japanese Wikipedia)
2018-07-27,404.0,Back to the Future (Japanese Wikipedia)
2018-07-28,403.0,Back to the Future (Japanese Wikipedia)
2018-07-29,410.0,Back to the Future (Japanese Wikipedia)
2018-07-30,561.0,Back to the Future (Japanese Wikipedia)
2018-07-31,464.0,Back to the Future (Japanese Wikipedia)
2018-08-01,428.0,Back to the Future (Japanese Wikipedia)
2018-08-02,475.0,Back to the Future (Japanese Wikipedia)
2018-08-03,404.0,Back to the Future (Japanese Wikipedia)
2018-08-04,415.0,Back to the Future (Japanese Wikipedia)
2018-08-05,388.0,Back to the Future (Japanese Wikipedia)
2018-08-06,442.0,Back to the Future (Japanese Wikipedia)
2018-08-07,410.0,Back to the Future (Japanese Wikipedia)
2018-08-08,351.0,Back to the Future (Japanese Wikipedia)
2018-08-09,416.0,Back to the Future (Japanese Wikipedia)
2018-08-10,391.0,Back to the Future (Japanese Wikipedia)
2018-08-11,361.0,Back to the Future (Japanese Wikipedia)
2018-08-12,399.0,Back to the Future (Japanese Wikipedia)
2018-08-13,524.0,Back to the Future (Japanese Wikipedia)
2018-08-14,1411.0,Back to the Future (Japanese Wikipedia)
2018-08-15,1090.0,Back to the Future (Japanese Wikipedia)
2018-08-16,685.0,Back to the Future (Japanese Wikipedia)
2018-08-17,555.0,Back to the Future (Japanese Wikipedia)
2018-08-18,395.0,Back to the Future (Japanese Wikipedia)
2018-08-19,397.0,Back to the Future (Japanese Wikipedia)
2018-08-20,452.0,Back to the Future (Japanese Wikipedia)
2018-08-21,454.0,Back to the Future (Japanese Wikipedia)
2018-08-22,532.0,Back to the Future (Japanese Wikipedia)
2018-08-23,439.0,Back to the Future (Japanese Wikipedia)
2018-08-24,465.0,Back to the Future (Japanese Wikipedia)
2018-08-25,433.0,Back to the Future (Japanese Wikipedia)
2018-08-26,389.0,Back to the Future (Japanese Wikipedia)
2018-08-27,365.0,Back to the Future (Japanese Wikipedia)
2018-08-28,452.0,Back to the Future (Japanese Wikipedia)
2018-08-29,448.0,Back to the Future (Japanese Wikipedia)
2018-08-30,417.0,Back to the Future (Japanese Wikipedia)
2018-08-31,404.0,Back to the Future (Japanese Wikipedia)
2018-09-01,403.0,Back to the Future (Japanese Wikipedia)
2018-09-02,414.0,Back to the Future (Japanese Wikipedia)
2018-09-03,432.0,Back to the Future (Japanese Wikipedia)
2018-09-04,429.0,Back to the Future (Japanese Wikipedia)
2018-09-05,360.0,Back to the Future (Japanese Wikipedia)
2018-09-06,389.0,Back to the Future (Japanese Wikipedia)
2018-09-07,439.0,Back to the Future (Japanese Wikipedia)
2018-09-08,376.0,Back to the Future (Japanese Wikipedia)
2018-09-09,358.0,Back to the Future (Japanese Wikipedia)
2018-09-10,406.0,Back to the Future (Japanese Wikipedia)
2018-09-11,408.0,Back to the Future (Japanese Wikipedia)
2018-09-12,347.0,Back to the Future (Japanese Wikipedia)
2018-09-13,349.0,Back to the Future (Japanese Wikipedia)
2018-09-14,386.0,Back to the Future (Japanese Wikipedia)
2018-09-15,369.0,Back to the Future (Japanese Wikipedia)
2018-09-16,397.0,Back to the Future (Japanese Wikipedia)
2018-09-17,429.0,Back to the Future (Japanese Wikipedia)
2018-09-18,437.0,Back to the Future (Japanese Wikipedia)
2018-09-19,400.0,Back to the Future (Japanese Wikipedia)
2018-09-20,307.0,Back to the Future (Japanese Wikipedia)
2018-09-21,388.0,Back to the Future (Japanese Wikipedia)
2018-09-22,331.0,Back to the Future (Japanese Wikipedia)
2018-09-23,335.0,Back to the Future (Japanese Wikipedia)
